cost source iteration upload download
0 0 0 2 0
0 1 0 2 0
11 0 1 1 1
1 61 12 0 1
0 8 5 1 1
37 0 1 1 1
10 84 10 0 1
0 86 11 0 1
0 18 4 1 1
12 1 1 3 1
0 70 9 0 1
46 1 1 1 1
40 30 6 0 1
26 9 2 0 1
1 78 10 0 1
0 52 5 0 1
4 70 9 3 1
1 99 9 0 1
43 16 3 1 1
11 41 3 1 1
2 71 9 0 1
2 16 3 2 1
0 4 6 0 1
0 21 4 2 1
4 21 4 3 1
0 46 12 0 1
0 91 11 0 1
22 23 5 1 1
0 91 11 0 1
1 56 11 0 1
0 90 9 3 1
1 85 10 0 1
0 69 9 0 1
0 87 8 0 1
45 24 5 2 1
41 24 5 0 1
0 11 2 0 1
35 2 2 1 1
10 9 2 2 1
38 9 2 1 1
0 72 10 0 1
1 65 10 1 1
0 67 4 0 1
0 77 10 0 1
0 92 9 0 1
22 38 3 0 1
0 88 11 1 1
19 16 3 1 1
0 77 10 0 1
0 34 6 0 1
4 38 3 2 1
2 91 11 1 1
34 50 4 1 1
0 24 5 0 1
43 50 4 1 1
0 69 9 0 1
0 79 10 1 1
0 5 2 0 1
6 23 5 0 1
10 30 6 2 1
28 34 6 3 1
0 91 11 1 1
0 67 4 0 1
3 60 7 4 1
0 47 4 0 1
0 90 9 2 1
14 60 7 2 1
0 39 3 2 1
0 88 11 0 1
36 95 8 3 1
6 63 8 3 1
0 65 10 3 1
2 70 9 1 1
0 59 7 0 1
0 95 8 0 1
0 51 12 0 1
1 27 6 0 1
18 71 9 2 1
17 89 9 1 1
24 71 9 3 1
1 37 3 1 1
0 86 11 0 1
1 30 6 0 1
1 97 9 0 1
0 97 9 1 1
36 69 9 1 1
0 80 10 2 1
0 60 7 1 1
0 66 8 2 1
0 66 8 1 1
29 63 8 2 1
0 79 10 4 1
0 63 8 1 1
1 19 4 0 1
0 54 5 0 1
0 59 7 3 1
0 99 9 0 1
2 95 8 2 1
0 79 10 0 1
9 63 8 2 1

1 62 10 0 1
0 29 13 0 1
5 9 1 1 1
1 61 11 0 1
0 8 10 1 1
0 73 12 0 1
0 79 11 0 1
0 86 12 0 1
0 18 9 1 1
0 9 0 2 0
0 70 11 0 1
23 62 10 1 1
0 34 6 0 1
0 9 1 0 1
0 14 0 0 0
0 52 8 0 1
8 2 2 1 1
1 99 11 0 1
0 80 8 1 1
1 31 6 0 1
0 99 11 0 1
2 16 3 2 1
0 4 11 0 1
0 21 4 3 1
4 21 4 3 1
0 46 8 0 1
0 91 10 0 1
22 23 5 1 1
0 91 10 0 1
1 56 12 1 1
12 23 5 3 1
10 24 5 1 1
0 69 11 0 1
0 87 10 0 1
10 23 5 2 1
41 24 5 0 1
0 11 11 0 1
9 30 6 3 1
0 69 11 0 1
1 79 11 0 1
11 30 6 3 1
1 65 11 0 1
8 37 7 2 1
0 77 10 0 1
0 92 11 0 1
0 62 10 0 1
49 40 7 1 1
0 54 8 1 1
8 52 8 0 1
0 34 6 0 1
29 57 9 0 1
29 42 8 1 1
43 37 7 5 1
0 24 5 0 1
26 40 7 2 1
28 40 7 1 1
0 79 11 1 1
3 52 8 2 1
42 42 8 0 1
7 52 8 3 1
24 55 8 3 1
0 91 10 1 1
0 67 11 5 1
0 75 10 0 1
39 59 9 0 1
0 90 10 1 1
32 59 9 3 1
20 91 10 1 1
0 88 11 0 1
34 62 10 2 1
12 89 10 1 1
8 91 10 0 1
33 52 8 0 1
19 79 11 1 1
0 95 10 0 1
0 51 9 1 1
1 27 6 0 1
0 60 9 2 1
0 94 11 0 1
0 91 10 7 1
1 37 7 1 1
0 86 12 0 1
1 30 6 0 1
1 97 11 0 1
0 97 11 0 1
0 60 9 0 1
18 79 11 2 1
0 60 9 1 1
0 66 10 1 1
0 47 9 1 1
18 57 9 1 1
0 79 11 6 1
26 66 10 1 1
30 62 10 0 1
0 54 8 1 1
0 59 9 1 1
0 99 11 0 1
7 66 10 2 1
0 79 11 0 1
44 77 10 3 1

0 0 0 2 0
0 1 0 2 0
11 0 1 1 1
1 61 12 0 1
0 8 5 1 1
37 0 1 1 1
10 84 10 0 1
0 86 11 0 1
0 18 4 1 1
12 1 1 3 1
0 70 9 0 1
46 1 1 1 1
40 30 6 0 1
26 9 2 0 1
1 78 10 0 1
0 52 5 0 1
4 70 9 3 1
1 99 9 0 1
43 16 3 1 1
11 41 3 1 1
2 71 9 0 1
2 16 3 2 1
0 4 6 0 1
0 21 4 2 1
4 21 4 3 1
0 46 12 0 1
0 91 11 0 1
22 23 5 1 1
0 91 11 0 1
1 56 11 0 1
0 90 9 3 1
1 85 10 0 1
0 69 9 0 1
0 87 8 0 1
45 24 5 2 1
41 24 5 0 1
0 11 2 0 1
35 2 2 1 1
10 9 2 2 1
38 9 2 1 1
0 72 10 0 1
1 65 10 1 1
0 67 4 0 1
0 77 10 0 1
0 92 9 0 1
22 38 3 0 1
0 88 11 1 1
19 16 3 1 1
0 77 10 0 1
0 34 6 0 1
4 38 3 2 1
2 91 11 1 1
34 50 4 1 1
0 24 5 0 1
43 50 4 1 1
0 69 9 0 1
0 79 10 1 1
0 5 2 0 1
6 23 5 0 1
10 30 6 2 1
28 34 6 3 1
0 91 11 1 1
0 67 4 0 1
3 60 7 4 1
0 47 4 0 1
0 90 9 2 1
14 60 7 2 1
0 39 3 2 1
0 88 11 0 1
36 95 8 3 1
6 63 8 3 1
0 65 10 3 1
2 70 9 1 1
0 59 7 0 1
0 95 8 0 1
0 51 12 0 1
1 27 6 0 1
18 71 9 2 1
17 89 9 1 1
24 71 9 3 1
1 37 3 1 1
0 86 11 0 1
1 30 6 0 1
1 97 9 0 1
0 97 9 1 1
36 69 9 1 1
